ID;Predito
1123;121252,0938
6503;150463,5704
7006;179256,9559
4052;138910,2212
1979;97023,48167
5308;82997,05145
5033;135306,8583
5257;177902,9068
3880;144865,0459
2858;200246,1921
3111;118257,6733
4569;68573,93803
8402;115794,0483
3837;203678,3682
9233;145426,5226
1448;114553,4924
2822;129860,5866
7512;130711,2925
514;135720,357
3586;136399,3496
2856;79259,30739
8584;89267,86664
4978;227483,4167
1426;4320,743676
6075;138508,4553
171;65080,70582
9292;224570,0792
5019;76313,72609
8159;140849,1537
1414;150077,1319
3188;164450,6176
4761;89440,61027
9339;124911,9467
5604;114027,8472
8232;87368,45146
5887;53939,86027
9637;171526,8565
5447;219802,9762
2944;37637,29086
8966;122592,5151
4249;136609,1215
415;85855,89629
4057;47519,32231
2451;150857,8632
8747;115530,4579
820;182566,9726
7634;19531,69317
9176;116842,4795
9276;141466,6825
1452;74127,60756
1566;72685,15725
9243;96450,20442
2437;90554,60161
4011;195080,8236
7222;117695,7324
8081;147559,7964
5115;181942,8875
72;123345,2432
6364;114565,9845
3902;87250,93562
4304;92921,37924
4248;131208,7924
4188;122617,5646
2602;87258,29518
4406;122127,5186
657;35502,88299
6749;109220,3764
1554;90054,56282
7230;138725,3486
4593;205624,7535
463;105525,3047
334;185043,386
1302;131999,9576
2837;110556,4104
4408;8244,516148
5595;100678,0758
4439;134725,067
1124;116120,523
8738;135843,0505
9073;77249,92356
5322;85030,75565
4939;11939,99329
5041;176802,8106
6058;152439,939
2714;84210,3583
1025;145624,4174
125;205333,0169
7914;196576,2902
6159;160327,8804
9136;126143,0586
7791;150237,9203
2670;90743,90637
6844;131083,2421
5897;138235,7497
528;80262,90914
8463;148515,2017
5113;136189,1339
6090;170309,3346
7745;74048,58031
956;72707,35777
8683;113772,9372
4427;171528,2321
1239;114482,9891
2358;107905,28
8923;136556,7998
7417;43455,58728
4300;150388,6514
6992;234734,4259
6541;66471,79221
4207;100687,1755
4242;113447,9159
8824;154708,2413
2261;63705,67049
1602;107784,9329
8764;147430,3566
5312;164878,1149
7060;65915,4405
4871;186349,6244
4286;161132,1887
9007;207506,8166
1443;135275,5748
1362;149199,8861
2412;138125,1832
1806;115614,8551
9385;104326,3775
4262;57991,43103
4879;96042,85364
9301;166675,0524
2676;120571,2081
5202;183526,125
679;226100,7245
4658;193696,7074
8325;162895,1586
2367;159758,6751
3376;145516,7842
9321;169193,7809
7398;177957,4741
2353;235394,3658
3062;131706,1515
2650;176627,2838
5028;65399,91965
9254;112067,7619
7553;165906,2814
6922;128696,6875
3849;109249,0777
7251;159742,6839
3739;81573,96676
2879;221717,2683
604;78459,98143
2594;118529,9811
1325;201973,5423
7320;106220,228
7695;95896,89318
4780;171956,1216
7931;114257,9595
2575;123468,0084
6736;79025,03245
7602;144878,0089
3426;73570,29281
1096;177284,8619
8739;147234,4573
